Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-6199,O42 - La COLETTA Nord,WW1,44.08094,7.10019,JN34NB
FBOTA,227,B/F-6200,O41 - La COLETTA Sud,WW1,44.08058,7.10045,JN34NB
FBOTA,227,B/F-6201,La COLETTA,WW1,44.07944,7.09981,JN34NB
FBOTA,227,B/F-6202,E8 - GUILLAUMES,WW1,44.07205,6.85667,JN34KB
FBOTA,227,B/F-6203,VALDEBLORE - REYNARDIERE (VE),WW1,44.07196,7.15150,JN34NB
FBOTA,227,B/F-6204,O38 - PETITE TETIERE,WW1,44.06478,7.16918,JN34OB
FBOTA,227,B/F-6205,PETITE TETIERE,WW1,44.06356,7.16698,JN34OB
FBOTA,227,B/F-6206,CONCHETAS - CONQUET (OC),WW1,44.06309,7.23363,JN34OB
FBOTA,227,B/F-6207,FRESSINEA (FA),WW1,44.06287,7.11734,JN34NB
FBOTA,227,B/F-6208,TETIERE,WW1,44.06283,7.15924,JN34NB
FBOTA,227,B/F-6209,CONCHETAS - CONQUET,WW1,44.06218,7.23368,JN34OB
FBOTA,227,B/F-6210,RIMPLAS (RS),WW1,44.06149,7.12811,JN34NB
FBOTA,227,B/F-6211,BOIS NOIR 4,WW1,44.05864,7.18798,JN34OB
FBOTA,227,B/F-6212,BOIS NOIR 5,WW1,44.05864,7.19504,JN34OB
FBOTA,227,B/F-6213,BOIS NOIR 1,WW1,44.05840,7.18312,JN34OB
FBOTA,227,B/F-6214,BOIS NOIR 2,WW1,44.05835,7.18513,JN34OB
FBOTA,227,B/F-6215,BOIS NOIR 3,WW1,44.05835,7.18799,JN34OB
FBOTA,227,B/F-6216,O40 - ABELIERA,WW1,44.05692,7.11868,JN34NB
FBOTA,227,B/F-6217,SERENA,WW1,44.05597,7.15929,JN34NB
FBOTA,227,B/F-6218,O37 - VENANSON,WW1,44.05276,7.25562,JN34PB
FBOTA,227,B/F-6219,CAIRE GROS,WW1,44.04754,7.19990,JN34OB
FBOTA,227,B/F-6220,COL d'IROUGNE,WW1,44.04653,7.12108,JN34NB
FBOTA,227,B/F-6221,BOLLINETTE Nord,WW1,44.04270,7.12868,JN34NB
FBOTA,227,B/F-6222,E7 - CIANS,WW1,44.03956,6.97629,JN34LA
FBOTA,227,B/F-6223,O39 - La BOLLINETTE,WW1,44.03907,7.12826,JN34NA
FBOTA,227,B/F-6224,CASTEL VIEIL,WW1,44.02922,7.30567,JN34PA
FBOTA,227,B/F-6225,TETE de SIRUOL,WW1,44.02593,7.26044,JN34PA
FBOTA,227,B/F-6226,Les ADRES,WW1,44.02558,7.33717,JN34QA
